Id,Sales
1,5020.0
2,8977.0
3,10774.0
4,8808.0
5,5598.0
6,6486.0
7,7472.0
8,7959.0
9,7648.0
10,5620.0
11,8501.0
12,8885.0
13,7316.0
14,5173.0
15,4974.0
16,4842.0
17,5822.0
18,10159.0
19,10073.0
20,11264.0
21,8583.0
22,4881.0
23,6660.0
24,5445.0
25,8146.0
26,11088.0
27,9476.0
28,5647.0
29,5734.0
30,4650.0
31,5209.0
32,10853.0
33,5982.0
34,4767.0
35,4819.0
36,6961.0
37,3220.0
38,7847.0
39,5032.0
40,7402.0
41,7170.0
42,5607.0
43,8401.0
44,8163.0
45,5156.0
46,5936.0
47,9316.0
48,12920.0
49,5943.0
50,8816.0
51,8701.0
52,10614.0
53,7393.0
54,10090.0
55,5644.0
56,5272.0
57,6594.0
58,7039.0
59,9876.0
60,8141.0
61,5464.0
62,7972.0
63,7188.0
64,10023.0
65,4024.0
66,13445.0
67,4759.0
68,6433.0
69,8355.0
70,5644.0
71,6683.0
72,7002.0
73,7846.0
74,6399.0
75,4945.0
76,8153.0
77,9049.0
78,7295.0
79,5375.0
80,7756.0
81,14082.0
82,7750.0
83,5561.0
84,6988.0
85,6447.0
86,5663.0
87,8263.0
88,3821.0
89,9453.0
90,7054.0
91,7063.0
92,8593.0
93,4456.0
94,6659.0
95,5647.0
96,9242.0
97,9516.0
98,5337.0
99,4604.0
100,6996.0
101,6507.0
102,5744.0
103,8026.0
104,8083.0
105,7472.0
106,4887.0
107,4224.0
108,8381.0
109,8112.0
110,9201.0
111,8798.0
112,8335.0
113,6362.0
114,10217.0
115,5795.0
116,7819.0
117,9293.0
118,7854.0
119,10342.0
120,9071.0
121,8741.0
122,5796.0
123,7432.0
124,8551.0
125,8844.0
126,4427.0
127,6009.0
128,7653.0
129,6094.0
130,4885.0
131,8430.0
132,6616.0
133,6479.0
134,6029.0
135,4839.0
136,6857.0
137,8090.0
138,7250.0
139,5352.0
140,4720.0
141,7070.0
142,3286.0
143,5957.0
144,6391.0
145,9207.0
146,9079.0
147,5570.0
148,9715.0
149,4476.0
150,5059.0
151,9115.0
152,5573.0
153,10176.0
154,8317.0
155,6015.0
156,6317.0
157,5883.0
158,8646.0
159,11135.0
160,5989.0
161,3272.0
162,4612.0
163,9375.0
164,9011.0
165,6608.0
166,7428.0
167,5108.0
168,5323.0
169,3198.0
170,4798.0
171,7638.0
172,7635.0
173,7507.0
174,9339.0
175,8056.0
176,9302.0
177,9309.0
178,5234.0
179,9394.0
180,10386.0
181,6218.0
182,7572.0
183,4944.0
184,7021.0
185,4795.0
186,7620.0
187,6103.0
188,8920.0
189,8407.0
190,8508.0
191,8689.0
192,7034.0
193,9827.0
194,20061.0
195,9657.0
196,6707.0
197,3484.0
198,6911.0
199,9677.0
200,6073.0
201,13459.0
202,21595.0
203,4381.0
204,6857.0
205,10803.0
206,4173.0
207,8505.0
208,7819.0
209,7707.0
210,5161.0
211,6066.0
212,8029.0
213,9390.0
214,12275.0
215,7166.0
216,6442.0
217,9079.0
218,6003.0
219,5413.0
220,7610.0
221,5825.0
222,6271.0
223,7395.0
224,7660.0
225,11469.0
226,7898.0
227,8095.0
228,8765.0
229,9670.0
230,10966.0
231,5792.0
232,4099.0
233,7199.0
234,6755.0
235,5982.0
236,4494.0
237,7767.0
238,8329.0
239,10536.0
240,6431.0
241,6265.0
242,6098.0
243,5695.0
244,11163.0
245,5509.0
246,8039.0
247,17191.0
248,7648.0
249,7776.0
250,6385.0
251,4907.0
252,6423.0
253,4184.0
254,6202.0
255,11883.0
256,5832.0
257,16308.0
258,13990.0
259,5571.0
260,5882.0
261,5564.0
262,6110.0
263,5962.0
264,13146.0
265,8342.0
266,12189.0
267,4069.0
268,7710.0
269,5607.0
270,8471.0
271,8329.0
272,6257.0
273,8715.0
274,6839.0
275,8875.0
276,11598.0
